Comercio;Categoria compra
Tximeleta Txutxe Denda;Alimentación
Uralde Iturgintza;Servicios y Comercio General
Urbanbat;Asociaciones y Cooperativas
Urbieta Kopiak;Servicios y Comercio General
Urkia Frutadenda;Alimentación
Urrats Oinetakoak;Moda y Complementos
Viva La Vida Veganamente;Alimentación
Wikitoki Elkarsorkuntzarako Laborategia;Asociaciones y Cooperativas
Xabier Zabalegui Moda hombre;Moda y Complementos
Ziku Ileapaindegia;Salud y Estética
Zinkoenea Jatetxea;Hostelería
Zumardi Jatetxea;Hostelería
